mu_modeling,mu_controller,reduction_db,is_stable,peak
0.001,1e-06,-0.253187943238912,True,0.7107286719637859
0.001,3.727593720314938e-06,0.5400175459951091,True,0.9515680378874942
0.001,1.389495494373136e-05,-3.0525438462981054,True,2.2435279133577657
0.001,5.1794746792312125e-05,-99.0,False,16.570557313449914
0.001,0.00019306977288832496,-99.0,False,27.52865437547593
0.001,0.0007196856730011514,-99.0,False,53.18604671904667
0.001,0.0026826957952797246,-99.0,False,22.59410364001821
0.001,0.01,-99.0,False,1462.611505694826
0.0034673685045253167,1e-06,0.10135913748291,True,0.6843921783311022
0.0034673685045253167,3.727593720314938e-06,0.09085170914038762,True,0.7098725357756932
0.0034673685045253167,1.389495494373136e-05,-0.3180030067778631,True,1.1217712067198171
0.0034673685045253167,5.1794746792312125e-05,-99.0,False,7.194164025807074
0.0034673685045253167,0.00019306977288832496,-99.0,False,11.326696099587151
0.0034673685045253167,0.0007196856730011514,-99.0,False,9.809230808929396
0.0034673685045253167,0.0026826957952797246,-99.0,False,278.0765046047609
0.0034673685045253167,0.01,-99.0,False,315.8981836167238
0.012022644346174132,1e-06,0.07174759287036371,True,0.6668874559313068
0.012022644346174132,3.727593720314938e-06,-0.33113282870761895,True,0.6974896246496303
0.012022644346174132,1.389495494373136e-05,0.5584212987589287,True,1.1348899751151595
0.012022644346174132,5.1794746792312125e-05,-2.2363178249118882,True,2.701138958590894
0.012022644346174132,0.00019306977288832496,-99.0,False,10.782132234665713
0.012022644346174132,0.0007196856730011514,-99.0,False,12.095585470454003
0.012022644346174132,0.0026826957952797246,-99.0,False,14.07947571266653
0.012022644346174132,0.01,-99.0,False,1116.8667854539406
0.04168693834703355,1e-06,-0.02355446850908514,True,0.7020078243463757
0.04168693834703355,3.727593720314938e-06,0.13072273803769824,True,0.6715762723074307
0.04168693834703355,1.389495494373136e-05,-0.17957584738003413,True,0.7289347517162056
0.04168693834703355,5.1794746792312125e-05,-1.624059975411354,True,1.0890355762035004
0.04168693834703355,0.00019306977288832496,-0.24668613617121096,True,2.4119914132050333
0.04168693834703355,0.0007196856730011514,-99.0,False,8.629619438496517
0.04168693834703355,0.0026826957952797246,-99.0,False,25.545473158865686
0.04168693834703355,0.01,-99.0,False,134.34587389318048
0.1445439770745928,1e-06,0.006836094881449642,True,0.6872629887908553
0.1445439770745928,3.727593720314938e-06,-0.0030210146110789767,True,0.6907847093268176
0.1445439770745928,1.389495494373136e-05,-0.03594496358681187,True,0.6835755317855798
0.1445439770745928,5.1794746792312125e-05,-0.6475690873853629,True,0.7707386919604056
0.1445439770745928,0.00019306977288832496,-0.5998590086282691,True,0.9094475871757572
0.1445439770745928,0.0007196856730011514,-99.0,False,4.906395149969688
0.1445439770745928,0.0026826957952797246,-99.0,False,11.35351985428628
0.1445439770745928,0.01,-99.0,False,125.88999960586291
0.5011872336272722,1e-06,0.0016706684644554493,True,0.6762561026261914
0.5011872336272722,3.727593720314938e-06,0.0013204076176074986,True,0.6778879417278743
0.5011872336272722,1.389495494373136e-05,0.012178421135869777,True,0.6772641028815795
0.5011872336272722,5.1794746792312125e-05,0.05148431942162631,True,0.6923364917505207
0.5011872336272722,0.00019306977288832496,-0.008141171413823518,True,0.9172703087893394
0.5011872336272722,0.0007196856730011514,-2.356786701113902,True,1.4917955807737286
0.5011872336272722,0.0026826957952797246,-99.0,False,22.258072945424036
0.5011872336272722,0.01,-99.0,False,20.540878558560376
